Variant,Model,EPS,LB,UB,Robust,Total_Time_s,Total_Time_min,Global_Data_MB,Global_Data_GB,Online_Time_s,Online_Time_min,Online_Data_MB,Online_Data_GB,Online_Rounds,Offline_Time_s,Offline_Time_min,Offline_Data_MB,Offline_Data_GB,Offline_Rounds,Int_Multiplications,Truncations,AND_Preprocessing
crown_naive,mnist_3layer_20,0.03000,11.1771,82.2181,1,24.1544,0.4,5052.49,4.93,8.40104,0.14,2505.88,2.45,11458,,,21.0992,0.02,628700,397499,34655,3238400
crown_naive,mnist_3layer_256,0.01500,-2.50047,4.01153,0,2067.78,34.46,656897.0,641.5,173.316,2.89,325893.0,318.25,585738,,,2566.17,2.51,9525226,52858411,675867,45669376
crown_naive,mnist_7layer_256,0.01500,-40.7694,46.2534,0,16522.6,275.38,5381870.0,5255.73,1052.55,17.54,2670040.0,2607.46,4413501,,,20945.1,20.45,47397610,433547819,5169691,213113856
crown_naive,mnist_2layer_20,0.04500,4.91991,58.6779,1,6.84183,0.11,681.726,0.67,4.33723,0.07,337.865,0.33,4617,,,3.38679,0.0,332582,49279,17015,1691136
crown_naive,mnist_5layer_256,0.01500,0.526919,1.37482,1,7999.62,133.33,2593250.0,2532.47,530.172,8.84,1286550.0,1256.4,2160027,,,10099.3,9.86,25249898,208862251,2397979,116667392
crown_naive,cifar_7layer_100,0.00100,-28.4131,226.242,0,6711.11,111.85,2096590.0,2047.45,644.484,10.74,1040130.0,1015.75,1984187,,,8213.38,8.02,37939662,168564555,2458983,194028544
crown_naive,cifar_5layer_100,0.00200,-100.271,635.069,0,3946.61,65.78,1223500.0,1194.82,405.812,6.76,606979.0,592.75,1187318,,,4799.04,4.69,24527030,98331155,1480283,125568512
crown_batchrelu,mnist_3layer_20,0.03000,11.1771,82.2181,1,16.992,0.28,5053.99,4.94,1.53293,0.03,2506.98,2.45,11562,,,20.8168,0.02,78072,397579,34575,3280384
crown_batchrelu,mnist_3layer_256,0.01500,-2.50047,4.01152,0,1971.07,32.85,657145.0,641.74,71.8957,1.2,326017.0,318.38,601522,,,2566.83,2.51,1347174,52859435,674843,52225024
crown_batchrelu,mnist_7layer_256,0.01500,-40.7696,46.2535,0,16150.2,269.17,5385550.0,5259.33,571.214,9.52,2671840.0,2609.22,4645165,,,21003.9,20.51,7840734,433557035,5166619,309660672
crown_batchrelu,cifar_10layer_200,0.00100,,,,,,,,,,,,,,,,,,,,
crown_batchrelu,mnist_2layer_20,0.04500,4.9199,58.6779,1,3.08659,0.05,681.419,0.67,0.640767,0.01,337.865,0.33,4617,,,3.23314,0.0,40320,49299,16975,1691136
crown_batchrelu,mnist_5layer_256,0.01500,0.526917,1.37482,1,7766.97,129.45,2594720.0,2533.91,269.934,4.5,1287280.0,1257.11,2253014,,,10119.5,9.88,3973474,208866347,2395931,155405312
crown_batchrelu,cifar_7layer_100,0.00100,-28.413,226.242,0,6324.55,105.41,2097160.0,2048.01,245.525,4.09,1040420.0,1016.04,2020429,,,8205.99,8.01,5171624,168568155,2457783,209069056
