Tag,Mode,T,rw,d,Frac,Acc,Design,Shift,P-value,V
diag_repro_T10,own_trigger,10,0.05,2.0,0%,85.18%,single_ctrl, -0.0004, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,0%,85.18%,mean_rest, -0.0018, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,1%,84.82%,single_ctrl, -0.0003, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,1%,84.82%,mean_rest, -0.0020, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,5%,84.61%,single_ctrl, -0.0002, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,5%,84.61%,mean_rest, -0.0018, 1.0e+00,NO
diag_repro_T10,own_trigger,10,0.05,2.0,10%,84.50%,single_ctrl, +0.0015, 1.0e-19,NO
diag_repro_T10,own_trigger,10,0.05,2.0,10%,84.50%,mean_rest, -0.0012, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,0%,82.58%,single_ctrl, -0.0117, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,0%,82.58%,mean_rest, -0.0018, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,1%,82.52%,single_ctrl, -0.0125, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,1%,82.52%,mean_rest, -0.0016, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,5%,82.78%,single_ctrl, -0.0126, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,5%,82.78%,mean_rest, -0.0019, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,10%,82.94%,single_ctrl, -0.0120, 1.0e+00,NO
diag_own_test_T1,own_trigger,1,0.05,2.0,10%,82.94%,mean_rest, -0.0009, 1.0e+00,NO
diag_repro_T1,own_trigger,1,0.05,2.0,0%,82.25%,single_ctrl, -0.0023, 1.0e+00,NO
diag_repro_T1,own_trigger,1,0.05,2.0,0%,82.25%,mean_rest, +0.0103, 1.9e-01,NO
diag_repro_T1,own_trigger,1,0.05,2.0,1%,82.16%,single_ctrl, -0.0011, 1.0e+00,NO
diag_repro_T1,own_trigger,1,0.05,2.0,1%,82.16%,mean_rest, +0.0111, 6.1e-04,NO
diag_repro_T1,own_trigger,1,0.05,2.0,5%,82.31%,single_ctrl, -0.0008, 1.0e+00,NO
