Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c100_resnet56_resnet20_T1,OWN,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,50000,72.6%,47.2%,mean_rest,-0.0001,1.0e+00,False,47.2%,-0.0002,1.0e+00,False,48.3%,-0.0001,1.0e+00,False,49.1%,-0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T1,OWN,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,50000,72.6%,47.2%,single_ctrl,0.0007,1.5e-40,True,47.2%,0.0006,1.9e-23,True,48.3%,0.0006,5.7e-33,True,49.1%,0.0006,3.3e-30,True
Exp1_MainTable,c100_resnet56_resnet20_T1,OWN,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,50000,72.6%,47.2%,suspect_top1,0.0007,2.6e-49,True,47.2%,0.0007,1.0e-40,True,48.3%,0.0008,6.8e-57,True,49.1%,0.0006,2.2e-38,True
Exp1_MainTable,c100_resnet56_resnet20_T3,OWN,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,50000,72.6%,52.4%,mean_rest,0.0003,1.0e+00,False,51.9%,0.0003,1.0e+00,False,52.4%,0.0003,1.0e+00,False,52.2%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T3,OWN,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,50000,72.6%,52.4%,single_ctrl,0.0006,7.7e-151,True,51.9%,0.0005,2.0e-120,True,52.4%,0.0005,2.4e-143,True,52.2%,0.0005,1.4e-165,True
Exp1_MainTable,c100_resnet56_resnet20_T3,OWN,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,50000,72.6%,52.4%,suspect_top1,0.0006,1.7e-191,True,51.9%,0.0005,3.3e-156,True,52.4%,0.0006,8.5e-180,True,52.2%,0.0006,4.8e-226,True
Exp1_MainTable,c100_resnet56_resnet20_T5,OWN,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,50000,72.6%,53.2%,mean_rest,0.0002,1.0e+00,False,52.2%,0.0002,1.0e+00,False,53.2%,0.0002,1.0e+00,False,53.0%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T5,OWN,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,50000,72.6%,53.2%,single_ctrl,0.0005,9.4e-125,True,52.2%,0.0005,2.3e-139,True,53.2%,0.0005,1.2e-117,True,53.0%,0.0004,2.3e-137,True
Exp1_MainTable,c100_resnet56_resnet20_T5,OWN,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,50000,72.6%,53.2%,suspect_top1,0.0005,1.2e-150,True,52.2%,0.0006,1.2e-157,True,53.2%,0.0005,2.3e-137,True,53.0%,0.0005,1.8e-197,True
Exp1_MainTable,c100_resnet56_resnet20_T10,OWN,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,50000,72.6%,54.4%,mean_rest,0.0002,1.0e+00,False,53.8%,0.0003,1.0e+00,False,54.4%,0.0002,1.0e+00,False,54.4%,0.0001,1.0e+00,False
