Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c100_resnet56_resnet20_T1,OWN,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,50000,72.6%,47.2%,mean_rest,-0.0001,1.0e+00,False,47.2%,-0.0002,1.0e+00,False,48.3%,-0.0001,1.0e+00,False,49.1%,-0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T3,OWN,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,50000,72.6%,52.4%,mean_rest,0.0003,1.0e+00,False,51.9%,0.0003,1.0e+00,False,52.4%,0.0003,1.0e+00,False,52.2%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T5,OWN,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,50000,72.6%,53.2%,mean_rest,0.0002,1.0e+00,False,52.2%,0.0002,1.0e+00,False,53.2%,0.0002,1.0e+00,False,53.0%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T10,OWN,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,50000,72.6%,54.4%,mean_rest,0.0002,1.0e+00,False,53.8%,0.0003,1.0e+00,False,54.4%,0.0002,1.0e+00,False,54.4%,0.0001,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T3,OWN,resnet56 -> resnet56,120,20,3,10.0,0.1,5.0,0.5,50000,72.6%,57.4%,mean_rest,0.0003,1.0e+00,False,57.7%,0.0003,1.0e+00,False,57.6%,0.0003,1.0e+00,False,57.4%,0.0003,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T5,OWN,resnet56 -> resnet56,120,20,5,10.0,0.1,5.0,0.5,50000,72.6%,58.6%,mean_rest,0.0003,1.0e+00,False,58.5%,0.0003,1.0e+00,False,58.6%,0.0003,1.0e+00,False,59.3%,0.0003,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T10,OWN,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,50000,72.6%,60.1%,mean_rest,0.0003,1.0e+00,False,59.7%,0.0003,1.0e+00,False,60.5%,0.0002,1.0e+00,False,60.2%,0.0002,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,50000,70.8%,38.3%,mean_rest,-0.0003,1.0e+00,False,33.4%,-0.0002,1.0e+00,False,30.3%,-0.0003,1.0e+00,False,28.2%,-0.0003,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,50000,70.8%,49.0%,mean_rest,0.0003,5.9e-02,False,46.3%,0.0003,7.4e-12,False,47.4%,0.0002,2.0e-16,False,47.5%,0.0002,5.7e-21,True
Exp1_MainTable,c100_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,50000,70.8%,50.3%,mean_rest,0.0002,1.0e+00,False,47.6%,0.0002,6.4e-04,False,47.8%,0.0002,1.8e-03,False,47.0%,0.0001,6.5e-04,False
Exp1_MainTable,c100_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,50000,70.8%,52.8%,mean_rest,0.0002,1.2e-02,False,51.0%,0.0002,1.7e-03,False,51.6%,0.0002,5.0e-04,False,51.4%,0.0001,2.7e-03,False
Exp1_MainTable,c100_resnet56_resnet20_T1,REC,resnet56 -> resnet20,120,20,1,10.0,0.1,5.0,0.5,4914,72.6%,47.2%,mean_rest,0.0004,1.0e+00,False,46.9%,0.0003,1.0e+00,False,48.1%,0.0003,1.0e+00,False,49.5%,0.0003,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet20_T3,REC,resnet56 -> resnet20,120,20,3,10.0,0.1,5.0,0.5,4977,72.6%,52.4%,mean_rest,0.0008,4.9e-04,False,51.9%,0.0007,8.2e-05,False,52.2%,0.0007,9.5e-04,False,52.0%,0.0006,2.7e-03,False
Exp1_MainTable,c100_resnet56_resnet20_T5,REC,resnet56 -> resnet20,120,20,5,10.0,0.1,5.0,0.5,4976,72.6%,53.2%,mean_rest,0.0007,5.2e-02,False,52.2%,0.0006,6.2e-02,False,53.1%,0.0005,2.8e-01,False,53.2%,0.0004,8.7e-02,False
Exp1_MainTable,c100_resnet56_resnet20_T10,REC,resnet56 -> resnet20,120,20,10,10.0,0.1,5.0,0.5,4933,72.6%,54.4%,mean_rest,0.0006,1.2e-01,False,53.8%,0.0006,1.7e-01,False,54.3%,0.0006,5.1e-02,False,54.6%,0.0005,1.1e-01,False
Exp1_MainTable,c100_resnet56_resnet56_T1,REC,resnet56 -> resnet56,120,20,1,10.0,0.1,5.0,0.5,5022,72.6%,53.8%,mean_rest,0.0002,1.0e+00,False,53.9%,0.0002,1.0e+00,False,54.1%,0.0002,1.0e+00,False,54.3%,0.0002,1.0e+00,False
Exp1_MainTable,c100_resnet56_resnet56_T3,REC,resnet56 -> resnet56,120,20,3,10.0,0.1,5.0,0.5,4838,72.6%,57.4%,mean_rest,0.0008,2.1e-07,False,57.5%,0.0008,8.8e-11,False,58.0%,0.0007,2.7e-10,False,58.1%,0.0007,2.8e-08,False
Exp1_MainTable,c100_resnet56_resnet56_T5,REC,resnet56 -> resnet56,120,20,5,10.0,0.1,5.0,0.5,4935,72.6%,58.6%,mean_rest,0.0010,5.4e-18,False,58.6%,0.0010,3.2e-18,False,58.5%,0.0009,5.9e-18,False,58.7%,0.0008,2.8e-19,False
Exp1_MainTable,c100_resnet56_resnet56_T10,REC,resnet56 -> resnet56,120,20,10,10.0,0.1,5.0,0.5,4929,72.6%,60.1%,mean_rest,0.0009,1.2e-16,False,59.9%,0.0009,4.7e-17,False,60.0%,0.0009,6.2e-16,False,60.2%,0.0008,1.2e-13,False
Exp1_MainTable,c100_vgg11_vgg11_T1,REC,vgg11 -> vgg11,120,20,1,10.0,0.1,5.0,0.5,5077,70.8%,38.3%,mean_rest,-0.0005,1.0e+00,False,33.3%,-0.0004,1.0e+00,False,30.2%,-0.0005,1.0e+00,False,26.4%,-0.0005,1.0e+00,False
Exp1_MainTable,c100_vgg11_vgg11_T3,REC,vgg11 -> vgg11,120,20,3,10.0,0.1,5.0,0.5,5044,70.8%,49.0%,mean_rest,0.0006,6.9e-13,False,45.5%,0.0005,4.0e-15,False,47.1%,0.0004,5.5e-14,False,47.7%,0.0004,1.8e-15,False
Exp1_MainTable,c100_vgg11_vgg11_T5,REC,vgg11 -> vgg11,120,20,5,10.0,0.1,5.0,0.5,4932,70.8%,50.3%,mean_rest,0.0004,1.3e-06,False,47.9%,0.0004,2.9e-07,False,47.8%,0.0003,7.2e-07,False,47.8%,0.0003,2.4e-06,False
Exp1_MainTable,c100_vgg11_vgg11_T10,REC,vgg11 -> vgg11,120,20,10,10.0,0.1,5.0,0.5,5035,70.8%,52.8%,mean_rest,0.0006,3.6e-16,False,51.8%,0.0005,1.8e-15,False,51.0%,0.0004,2.4e-13,False,51.0%,0.0004,2.3e-13,False
Exp2_RWSweep,c100_rw_sweep_0.05,REC,resnet56 -> resnet56,160,40,5,10.0,0.05,7.0,0.5,2447,72.6%,58.6%,mean_rest,0.0010,5.8e-06,False,58.1%,0.0009,2.7e-06,False,58.6%,0.0008,9.4e-06,False,59.2%,0.0007,4.4e-05,False
