Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c10_resnet20_resnet20_T1,OWN,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,82.7%,mean_rest,0.0096,0.0e+00,True,82.7%,0.0092,0.0e+00,True,82.7%,0.0095,0.0e+00,True,82.9%,0.0087,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T1,OWN,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,82.7%,single_ctrl,0.0085,0.0e+00,True,82.7%,0.0080,0.0e+00,True,82.7%,0.0080,0.0e+00,True,82.9%,0.0073,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T1,OWN,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,82.7%,suspect_top1,0.0086,0.0e+00,True,82.7%,0.0085,0.0e+00,True,82.7%,0.0088,0.0e+00,True,82.9%,0.0079,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T3,OWN,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,mean_rest,0.0065,0.0e+00,True,83.6%,0.0065,2.0e-296,True,83.7%,0.0058,5.8e-279,True,83.4%,0.0054,4.6e-220,True
Exp1_MainTable,c10_resnet20_resnet20_T3,OWN,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,single_ctrl,0.0044,0.0e+00,True,83.6%,0.0047,0.0e+00,True,83.7%,0.0034,0.0e+00,True,83.4%,0.0034,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T3,OWN,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,suspect_top1,0.0046,0.0e+00,True,83.6%,0.0048,0.0e+00,True,83.7%,0.0043,0.0e+00,True,83.4%,0.0035,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T5,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.3%,mean_rest,0.0060,6.7e-162,True,84.4%,0.0054,1.7e-102,True,84.5%,0.0056,4.3e-163,True,84.4%,0.0053,1.0e-165,True
Exp1_MainTable,c10_resnet20_resnet20_T5,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.3%,single_ctrl,0.0039,0.0e+00,True,84.4%,0.0035,0.0e+00,True,84.5%,0.0034,0.0e+00,True,84.4%,0.0030,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T5,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.3%,suspect_top1,0.0040,0.0e+00,True,84.4%,0.0037,0.0e+00,True,84.5%,0.0036,0.0e+00,True,84.4%,0.0032,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T10,OWN,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,mean_rest,0.0052,5.8e-72,True,84.1%,0.0051,9.5e-51,True,84.2%,0.0052,3.7e-66,True,84.2%,0.0047,3.2e-32,True
Exp1_MainTable,c10_resnet20_resnet20_T10,OWN,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,single_ctrl,0.0033,0.0e+00,True,84.1%,0.0038,0.0e+00,True,84.2%,0.0032,2.8e-307,True,84.2%,0.0027,7.2e-226,True
Exp1_MainTable,c10_resnet20_resnet20_T10,OWN,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,suspect_top1,0.0035,0.0e+00,True,84.1%,0.0035,0.0e+00,True,84.2%,0.0034,0.0e+00,True,84.2%,0.0026,9.3e-242,True
Exp1_MainTable,c10_resnet20_vgg11_T1,OWN,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,mean_rest,0.0078,0.0e+00,True,83.7%,0.0077,0.0e+00,True,83.9%,0.0072,0.0e+00,True,83.7%,0.0072,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T1,OWN,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,single_ctrl,0.0086,0.0e+00,True,83.7%,0.0087,0.0e+00,True,83.9%,0.0082,0.0e+00,True,83.7%,0.0083,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T1,OWN,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,suspect_top1,0.0097,0.0e+00,True,83.7%,0.0093,0.0e+00,True,83.9%,0.0091,0.0e+00,True,83.7%,0.0093,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T3,OWN,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,85.6%,mean_rest,0.0054,0.0e+00,True,85.2%,0.0052,0.0e+00,True,85.5%,0.0049,0.0e+00,True,85.6%,0.0049,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T3,OWN,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,85.6%,single_ctrl,0.0034,0.0e+00,True,85.2%,0.0039,0.0e+00,True,85.5%,0.0038,0.0e+00,True,85.6%,0.0037,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T3,OWN,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,85.6%,suspect_top1,0.0043,0.0e+00,True,85.2%,0.0047,0.0e+00,True,85.5%,0.0049,0.0e+00,True,85.6%,0.0047,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T5,OWN,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,85.7%,mean_rest,0.0061,0.0e+00,True,85.5%,0.0053,0.0e+00,True,85.6%,0.0046,0.0e+00,True,85.4%,0.0051,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T5,OWN,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,85.7%,single_ctrl,0.0042,0.0e+00,True,85.5%,0.0040,0.0e+00,True,85.6%,0.0034,0.0e+00,True,85.4%,0.0039,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T5,OWN,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,85.7%,suspect_top1,0.0047,0.0e+00,True,85.5%,0.0045,0.0e+00,True,85.6%,0.0040,0.0e+00,True,85.4%,0.0042,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T10,OWN,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,86.2%,mean_rest,0.0050,8.7e-214,True,85.9%,0.0045,0.0e+00,True,85.9%,0.0037,4.1e-215,True,85.9%,0.0037,1.2e-169,True
Exp1_MainTable,c10_resnet20_vgg11_T10,OWN,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,86.2%,single_ctrl,0.0033,0.0e+00,True,85.9%,0.0033,0.0e+00,True,85.9%,0.0023,0.0e+00,True,85.9%,0.0023,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T10,OWN,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,86.2%,suspect_top1,0.0035,0.0e+00,True,85.9%,0.0026,0.0e+00,True,85.9%,0.0022,0.0e+00,True,85.9%,0.0022,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.8%,83.2%,mean_rest,0.0182,0.0e+00,True,82.7%,0.0179,0.0e+00,True,82.8%,0.0157,0.0e+00,True,81.3%,0.0127,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.8%,83.2%,single_ctrl,0.0144,0.0e+00,True,82.7%,0.0143,0.0e+00,True,82.8%,0.0127,0.0e+00,True,81.3%,0.0103,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.8%,83.2%,suspect_top1,0.0160,0.0e+00,True,82.7%,0.0154,0.0e+00,True,82.8%,0.0135,0.0e+00,True,81.3%,0.0109,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.8%,83.3%,mean_rest,0.0073,0.0e+00,True,82.5%,0.0061,0.0e+00,True,81.9%,0.0043,0.0e+00,True,82.2%,0.0038,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.8%,83.3%,single_ctrl,0.0056,0.0e+00,True,82.5%,0.0047,0.0e+00,True,81.9%,0.0031,0.0e+00,True,82.2%,0.0025,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.8%,83.3%,suspect_top1,0.0066,0.0e+00,True,82.5%,0.0055,0.0e+00,True,81.9%,0.0031,0.0e+00,True,82.2%,0.0024,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.8%,84.4%,mean_rest,0.0046,0.0e+00,True,83.2%,0.0040,0.0e+00,True,83.1%,0.0030,0.0e+00,True,83.2%,0.0031,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.8%,84.4%,single_ctrl,0.0024,0.0e+00,True,83.2%,0.0020,8.0e-220,True,83.1%,0.0015,7.7e-136,True,83.2%,0.0015,4.8e-124,True
Exp1_MainTable,c10_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.8%,84.4%,suspect_top1,0.0032,0.0e+00,True,83.2%,0.0027,0.0e+00,True,83.1%,0.0023,2.1e-266,True,83.2%,0.0022,3.9e-238,True
Exp1_MainTable,c10_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.8%,84.3%,mean_rest,0.0052,0.0e+00,True,84.0%,0.0035,0.0e+00,True,83.6%,0.0024,9.2e-296,True,83.8%,0.0025,2.9e-286,True
Exp1_MainTable,c10_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.8%,84.3%,single_ctrl,0.0033,0.0e+00,True,84.0%,0.0018,0.0e+00,True,83.6%,0.0003,1.2e-79,True,83.8%,0.0004,1.5e-88,True
Exp1_MainTable,c10_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.8%,84.3%,suspect_top1,0.0035,0.0e+00,True,84.0%,0.0023,0.0e+00,True,83.6%,0.0002,1.1e-70,True,83.8%,0.0003,2.3e-110,True
Exp1_MainTable,c10_resnet20_resnet20_T1,REC,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,4990,92.6%,82.7%,mean_rest,0.0124,2.8e-130,True,82.7%,0.0120,1.4e-115,True,82.8%,0.0120,1.7e-124,True,83.1%,0.0118,3.4e-112,True
Exp1_MainTable,c10_resnet20_resnet20_T1,REC,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,4990,92.6%,82.7%,single_ctrl,0.0121,2.3e-119,True,82.7%,0.0116,1.2e-110,True,82.8%,0.0111,2.6e-107,True,83.1%,0.0111,3.9e-104,True
