Experiment,Tag,Trigger,Arch_Pair,Dist_Ep,FT_Ep,Temp,V_Temp,RW,Delta,Beta,Trig_Size,T_Acc,S_Acc(FT0%),Design,FT0%_Shift,FT0%_P,FT0%_Ver,FT1%_Acc,FT1%_Shift,FT1%_P,FT1%_Ver,FT5%_Acc,FT5%_Shift,FT5%_P,FT5%_Ver,FT10%_Acc,FT10%_Shift,FT10%_P,FT10%_Ver
Exp1_MainTable,c10_resnet20_resnet20_T1,OWN,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,82.7%,mean_rest,0.0096,0.0e+00,True,82.7%,0.0092,0.0e+00,True,82.7%,0.0095,0.0e+00,True,82.9%,0.0087,0.0e+00,True
Exp1_MainTable,c10_resnet20_resnet20_T3,OWN,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,mean_rest,0.0065,0.0e+00,True,83.6%,0.0065,2.0e-296,True,83.7%,0.0058,5.8e-279,True,83.4%,0.0054,4.6e-220,True
Exp1_MainTable,c10_resnet20_resnet20_T5,OWN,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,84.3%,mean_rest,0.0060,6.7e-162,True,84.4%,0.0054,1.7e-102,True,84.5%,0.0056,4.3e-163,True,84.4%,0.0053,1.0e-165,True
Exp1_MainTable,c10_resnet20_resnet20_T10,OWN,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,84.5%,mean_rest,0.0052,5.8e-72,True,84.1%,0.0051,9.5e-51,True,84.2%,0.0052,3.7e-66,True,84.2%,0.0047,3.2e-32,True
Exp1_MainTable,c10_resnet20_vgg11_T1,OWN,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.6%,84.1%,mean_rest,0.0078,0.0e+00,True,83.7%,0.0077,0.0e+00,True,83.9%,0.0072,0.0e+00,True,83.7%,0.0072,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T3,OWN,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.6%,85.6%,mean_rest,0.0054,0.0e+00,True,85.2%,0.0052,0.0e+00,True,85.5%,0.0049,0.0e+00,True,85.6%,0.0049,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T5,OWN,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.6%,85.7%,mean_rest,0.0061,0.0e+00,True,85.5%,0.0053,0.0e+00,True,85.6%,0.0046,0.0e+00,True,85.4%,0.0051,0.0e+00,True
Exp1_MainTable,c10_resnet20_vgg11_T10,OWN,resnet20 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.6%,86.2%,mean_rest,0.0050,8.7e-214,True,85.9%,0.0045,0.0e+00,True,85.9%,0.0037,4.1e-215,True,85.9%,0.0037,1.2e-169,True
Exp1_MainTable,c10_vgg11_vgg11_T1,OWN,vgg11 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,50000,92.8%,83.2%,mean_rest,0.0182,0.0e+00,True,82.7%,0.0179,0.0e+00,True,82.8%,0.0157,0.0e+00,True,81.3%,0.0127,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T3,OWN,vgg11 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,50000,92.8%,83.3%,mean_rest,0.0073,0.0e+00,True,82.5%,0.0061,0.0e+00,True,81.9%,0.0043,0.0e+00,True,82.2%,0.0038,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T5,OWN,vgg11 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,50000,92.8%,84.4%,mean_rest,0.0046,0.0e+00,True,83.2%,0.0040,0.0e+00,True,83.1%,0.0030,0.0e+00,True,83.2%,0.0031,0.0e+00,True
Exp1_MainTable,c10_vgg11_vgg11_T10,OWN,vgg11 -> vgg11,80,20,10,10.0,0.1,5.0,0.5,50000,92.8%,84.3%,mean_rest,0.0052,0.0e+00,True,84.0%,0.0035,0.0e+00,True,83.6%,0.0024,9.2e-296,True,83.8%,0.0025,2.9e-286,True
Exp1_MainTable,c10_resnet20_resnet20_T1,REC,resnet20 -> resnet20,80,20,1,10.0,0.1,5.0,0.5,4990,92.6%,82.7%,mean_rest,0.0124,2.8e-130,True,82.7%,0.0120,1.4e-115,True,82.8%,0.0120,1.7e-124,True,83.1%,0.0118,3.4e-112,True
Exp1_MainTable,c10_resnet20_resnet20_T3,REC,resnet20 -> resnet20,80,20,3,10.0,0.1,5.0,0.5,4908,92.6%,84.1%,mean_rest,0.0129,1.7e-245,True,83.6%,0.0127,5.5e-228,True,83.9%,0.0119,5.8e-204,True,83.5%,0.0109,4.0e-181,True
Exp1_MainTable,c10_resnet20_resnet20_T5,REC,resnet20 -> resnet20,80,20,5,10.0,0.1,5.0,0.5,4961,92.6%,84.3%,mean_rest,0.0132,6.8e-208,True,84.2%,0.0119,1.7e-166,True,84.7%,0.0119,2.2e-188,True,84.2%,0.0109,1.3e-164,True
Exp1_MainTable,c10_resnet20_resnet20_T10,REC,resnet20 -> resnet20,80,20,10,10.0,0.1,5.0,0.5,5072,92.6%,84.5%,mean_rest,0.0140,1.7e-244,True,84.1%,0.0134,2.9e-209,True,84.2%,0.0128,6.1e-187,True,84.2%,0.0123,3.5e-166,True
Exp1_MainTable,c10_resnet20_vgg11_T1,REC,resnet20 -> vgg11,80,20,1,10.0,0.1,5.0,0.5,5003,92.6%,84.1%,mean_rest,0.0096,6.5e-303,True,83.8%,0.0094,2.5e-302,True,83.7%,0.0089,3.3e-287,True,83.8%,0.0088,1.3e-278,True
Exp1_MainTable,c10_resnet20_vgg11_T3,REC,resnet20 -> vgg11,80,20,3,10.0,0.1,5.0,0.5,5034,92.6%,85.6%,mean_rest,0.0068,8.7e-153,True,84.9%,0.0067,2.5e-167,True,85.4%,0.0064,1.2e-166,True,85.4%,0.0065,1.7e-161,True
Exp1_MainTable,c10_resnet20_vgg11_T5,REC,resnet20 -> vgg11,80,20,5,10.0,0.1,5.0,0.5,4972,92.6%,85.7%,mean_rest,0.0103,6.7e-180,True,85.5%,0.0095,4.0e-197,True,85.4%,0.0085,1.8e-172,True,85.6%,0.0083,2.9e-147,True
